,Country,GDP_USD_millions
0,United States,26854599
1,China,19373586
2,Japan,4409738
3,Germany,4308854
4,India,3736882
5,United Kingdom,3158938
6,France,2923489
7,Italy,2169745
8,Canada,2089672
9,Brazil,2081235
10,Russia,2062649
11,South Korea,1721909
12,Australia,1707548
13,Mexico,1663164
14,Spain,1492432
15,Indonesia,1391778
16,Netherlands,1080880
17,Saudi Arabia,1061902
18,Turkey,1029303
19,Switzerland,869601
20,Taiwan,790728
21,Poland,748887
22,Argentina,641102
23,Belgium,624248
24,Sweden,599052
25,Ireland,594095
26,Thailand,574231
27,Norway,554105
28,Israel,539223
29,Singapore,515548
30,Austria,515199
31,Nigeria,506601
32,United Arab Emirates,498978
33,Vietnam,449094
34,Malaysia,447026
35,Philippines,440901
36,Bangladesh,420516
37,Denmark,405626
38,South Africa,399015
39,Hong Kong,382854
40,Egypt,378110
41,Iran,367970
42,Chile,358557
43,Romania,348902
44,Colombia,334689
45,Czech Republic,330483
46,Finland,301670
47,Peru,268235
48,Iraq,267893
49,Portugal,267721
50,New Zealand,251969
51,Kazakhstan,245695
52,Greece,239300
53,Qatar,219570
54,Algeria,206007
55,Hungary,188505
56,Kuwait,164713
57,Ethiopia,156083
58,Ukraine,148712
59,Morocco,138781
60,Slovakia,127533
61,Ecuador,121291
62,Dominican Republic,121289
63,Puerto Rico,120838
64,Kenya,118130
65,Angola,117877
66,Oman,104902
67,Guatemala,102309
68,Bulgaria,100635
69,Venezuela,96628
70,Uzbekistan,92332
71,Luxembourg,86971
72,Tanzania,85421
73,Turkmenistan,82649
74,Croatia,78881
75,Lithuania,78346
76,Costa Rica,77777
77,Uruguay,77313
78,Panama,77257
79,Ivory Coast,77047
80,Serbia,73961
81,Belarus,73543
82,Azerbaijan,70030
83,DR Congo,69474
84,Slovenia,68108
85,Ghana,66622
86,Myanmar,63988
87,Jordan,52061
88,Tunisia,49815
89,Uganda,49792
90,Cameroon,48625
91,Latvia,47398
92,Sudan,46705
93,Libya,46297
94,Bolivia,46097
95,Bahrain,44870
96,Paraguay,42820
97,Nepal,42097
98,Estonia,41551
99,Macau,35841
100,El Salvador,33752
101,Honduras,32860
102,Papua New Guinea,31362
103,Senegal,31221
104,Cyprus,30864
105,Cambodia,30628
106,Zimbabwe,29931
107,Zambia,29272
108,Iceland,28625
109,Bosnia and Herzegovina,28488
110,Trinidad and Tobago,28223
111,Georgia,27947
112,Haiti,26580
113,Armenia,23725
114,Guinea,23330
115,Burkina Faso,21076
116,Mali,20776
117,Gabon,20330
118,Albania,20177
119,Mozambique,19909
120,Palestine,19206
121,Botswana,19572
122,Yemen,19529
123,Malta,19405
124,Benin,19236
125,Nicaragua,17287
126,Jamaica,17254
127,Mongolia,16908
128,Niger,16617
129,Guyana,16309
130,Brunei,15988
131,Madagascar,15969
132,Moldova,15829
133,North Macedonia,15278
134,Equatorial Guinea,15099
135,Mauritius,14570
136,Bahamas,14114
137,Laos,14091
138,Namibia,13486
139,Rwanda,13149
140,Congo,13031
141,Tajikistan,12796
142,Kyrgyzstan,12309
143,Chad,11962
144,Malawi,11277
145,Mauritania,10966
146,Kosovo,9990
147,Togo,9001
148,Somalia,8738
149,Montenegro,7027
150,South Sudan,7012
151,Maldives,7004
152,Barbados,6117
153,Fiji,5385
154,Eswatini,4824
155,Liberia,4375
156,Djibouti,3916
157,Andorra,3669
158,Aruba,3633
159,Sierra Leone,3520
160,Suriname,3470
161,Burundi,3234
162,Belize,3162
163,Central African Republic,2736
164,Bhutan,2683
165,Eritrea,2666
166,Lesotho,2584
167,Cape Verde,2468
168,Gambia,2277
169,Saint Lucia,2262
170,East Timor,1988
171,Seychelles,1950
172,Guinea-Bissau,1887
173,Antigua and Barbuda,1864
174,San Marino,1807
175,Solomon Islands,1701
176,Comoros,1348
177,Grenada,1274
178,Vanuatu,1064
179,Saint Kitts and Nevis,1052
180,Saint Vincent and the Grenadines,1039
181,Samoa,898
182,Dominica,681
183,São Tomé and Príncipe,625
184,Tonga,541
185,Micronesia,456
186,Marshall Islands,291
187,Palau,262
188,Kiribati,248
189,Nauru,151
190,Tuvalu,65
